neighborhood,zipcode,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15
4504,Ballard,98117,9376301112,20141031T000000,457000,2,2.5,1380,1329,2.0,0,0,3,8,1050,330,2008,0,47.6903,-122.37,1360,3750
2045,West Seattle,98146,8118600080,20150220T000000,565000,4,2.0,2070,7980,1.5,0,0,4,7,2070,0,1940,0,47.5092,-122.38600000000001,1600,7980
407,University District,98105,2985800030,20140507T000000,495000,3,1.0,990,6000,1.0,0,0,3,6,990,0,1943,0,47.6718,-122.26700000000001,1250,6000
5818,Lake City,98115,9547200460,20140820T000000,640000,3,1.5,1960,4080,1.5,0,0,3,7,1960,0,1915,0,47.6768,-122.31,1880,4080
2305,Beacon Hill,98108,6056100312,20140624T000000,395000,3,2.5,1600,1936,2.0,0,0,3,7,1600,0,2007,0,47.5629,-122.29700000000001,1600,1936
6292,Lake City,98125,8902000407,20141217T000000,480000,3,1.75,1740,8528,1.0,0,0,4,7,1290,450,1939,0,47.7097,-122.303,1610,8528
3052,Rainier Valley,98178,1423049019,20140523T000000,90000,2,1.0,580,7500,1.0,0,0,3,5,580,0,1943,0,47.4852,-122.251,1700,11250
6614,Lake City,98125,2325300093,20140707T000000,378000,3,2.5,1601,2491,3.0,0,0,3,7,1536,65,2007,0,47.718999999999994,-122.31700000000001,1420,1156
1685,West Seattle,98136,2523400205,20150421T000000,510000,2,1.5,1860,5100,1.0,0,0,3,7,1060,800,1940,0,47.5573,-122.39200000000001,1710,5100
543,University District,98105,4219400580,20140612T000000,1688000,4,2.5,3000,7500,2.0,0,0,3,9,3000,0,1937,1994,47.6571,-122.277,2580,5000
1232,West Seattle,98126,7453000070,20140818T000000,275000,2,1.0,940,5000,1.0,0,0,3,6,940,0,1951,0,47.5186,-122.374,940,5000
200,Cascade,98109,52000067,20141103T000000,495000,3,3.5,1650,1577,2.0,0,0,3,7,1100,550,2012,0,47.6302,-122.344,1580,1280
4016,Ballard,98117,5309100140,20140624T000000,880000,4,2.5,3030,3841,3.0,0,0,3,9,3030,0,2005,0,47.6781,-122.369,1080,4922
3168,Central Area,98122,9818700430,20141001T000000,421500,3,1.5,990,4500,1.0,0,0,5,7,990,0,1948,0,47.6051,-122.29799999999999,1490,4000
3480,Central Area,98144,1250202660,20140924T000000,825000,4,1.0,2290,6300,1.5,0,4,4,7,2150,140,1921,0,47.5917,-122.29,2390,6300
6477,Lake City,98125,6414100482,20150331T000000,500000,2,1.0,1630,12059,1.0,0,0,3,7,1270,360,1947,0,47.7228,-122.314,1660,8800
4733,Northgate,98103,6749700031,20140609T000000,345000,3,2.5,1210,1420,3.0,0,0,3,8,1210,0,2008,0,47.6977,-122.34899999999999,1190,1407
4080,Ballard,98117,464000600,20140827T000000,641250,3,2.5,2220,2550,3.0,0,2,3,10,2220,0,1990,0,47.6963,-122.39299999999999,2200,5610
1197,West Seattle,98116,6371000100,20141120T000000,479000,2,2.25,1330,1380,2.0,0,0,3,8,1060,270,2005,0,47.577,-122.41,1580,4802
288,Queen Anne,98119,7011201550,20140707T000000,780000,4,2.0,2600,4800,1.0,0,2,3,8,1400,1200,1953,0,47.637,-122.37100000000001,2050,3505
1515,West Seattle,98126,2695600410,20141106T000000,428950,2,1.0,1760,4441,1.0,0,0,3,8,1310,450,1950,0,47.5311,-122.381,1350,5748
6854,Delridge,98106,7972601995,20140616T000000,245000,2,1.0,1200,4880,1.0,0,0,3,6,980,220,1943,0,47.5276,-122.346,1040,4880
4398,Ballard,98117,8081900101,20140528T000000,960000,4,2.25,2410,4560,2.0,0,2,5,9,1800,610,1929,0,47.6796,-122.402,2150,5100
6291,Lake City,98125,1133000542,20140805T000000,425000,3,2.25,1670,9500,1.0,0,0,3,7,1170,500,1977,0,47.7253,-122.309,1470,9500
7180,Magnolia,98199,2770602360,20150421T000000,671000,4,2.75,1890,1475,2.0,0,0,3,9,1200,690,2015,0,47.6472,-122.383,1650,1682
4461,Ballard,98117,3693901105,20141020T000000,630000,4,2.0,1610,5000,2.0,0,0,5,7,1610,0,1946,0,47.6775,-122.398,1300,4950
231,Queen Anne,98119,2652500015,20140610T000000,800000,3,2.25,1620,4500,2.0,0,0,4,8,1620,0,1926,0,47.643,-122.361,1210,4320
6048,Lake City,98115,8824900020,20150327T000000,937750,4,2.75,2580,3560,1.5,0,0,5,7,1710,870,1917,0,47.6753,-122.304,1980,3800
2378,Seward Park,98118,6896300375,20140505T000000,580000,2,1.0,2540,7000,1.0,0,0,5,8,1320,1220,1942,0,47.5259,-122.26100000000001,2160,6000
444,University District,98105,3131201865,20140617T000000,458000,4,1.5,1550,3000,1.5,0,0,3,7,1350,200,1918,0,47.6604,-122.324,1710,5535
6124,Lake City,98115,5100403636,20150223T000000,400000,2,1.0,700,8120,1.0,0,0,3,7,700,0,1927,0,47.6962,-122.321,1130,5599
4228,Ballard,98117,6021502070,20150508T000000,600000,2,1.0,1410,4500,1.0,0,0,3,7,1020,390,1939,0,47.6883,-122.384,1300,4500
6536,Lake City,98125,8632100010,20140604T000000,365000,2,1.0,1250,8100,1.0,0,0,4,7,1250,0,1947,0,47.7294,-122.329,1710,8100
2637,Seward Park,98118,1443500925,20150504T000000,455000,2,1.0,1140,11480,1.0,0,0,3,6,1140,0,1907,0,47.5328,-122.274,1550,8150
354,Queen Anne,98119,6819100080,20141001T000000,636100,3,1.0,1010,6000,1.5,0,0,3,7,1010,0,1919,1977,47.6438,-122.35700000000001,1960,4000
802,Capitol Hill,98112,9828702245,20150316T000000,640000,3,2.5,1620,1377,2.0,0,0,3,8,1100,520,2009,0,47.6195,-122.29899999999999,1620,1251
1790,West Seattle,98136,7649900175,20140520T000000,494000,4,1.75,2090,4300,1.5,0,0,4,7,1250,840,1925,0,47.5555,-122.397,1670,5000
1224,West Seattle,98116,952006823,20141202T000000,380000,3,2.5,1260,900,2.0,0,0,3,7,940,320,2007,0,47.5621,-122.384,1310,1415
324,Queen Anne,98119,2652500155,20141029T000000,815000,4,1.75,1820,4500,1.5,0,0,3,8,1820,0,1921,0,47.6429,-122.36,1870,3600
3172,Central Area,98122,9828200460,20150106T000000,430000,2,1.0,700,4800,1.0,0,0,3,7,700,0,1922,0,47.6147,-122.3,1440,4800
5344,Northgate,98133,3368900084,20140623T000000,275000,3,1.0,1080,6000,1.0,0,0,4,7,1080,0,1952,0,47.7579,-122.33,1200,7210
5943,Lake City,98115,3658700510,20140724T000000,620000,4,2.75,2290,3060,1.5,0,0,5,7,1550,740,1928,0,47.6793,-122.316,1460,3060
6396,Lake City,98125,7352200100,20150224T000000,1360000,2,1.75,2620,14138,2.0,1,4,3,8,2120,500,1931,1991,47.7142,-122.277,1830,8279
4498,Ballard,98117,3566800485,20150223T000000,649950,4,3.5,2440,3012,3.0,0,1,3,8,2440,0,2005,0,47.6923,-122.39200000000001,1860,4650
2989,Rainier Valley,98178,3352400905,20140516T000000,245000,4,1.0,1530,7200,1.5,0,0,3,7,1400,130,1948,0,47.5015,-122.262,1530,7200
4553,Northgate,98103,625049299,20141203T000000,482000,2,1.0,950,3960,1.0,0,0,3,7,950,0,1941,0,47.6885,-122.337,1320,4050
3999,Ballard,98117,461001615,20150225T000000,605000,2,1.75,1760,5000,1.0,0,0,4,7,940,820,1927,0,47.681999999999995,-122.37200000000001,1530,5000
1122,West Seattle,98116,585000095,20141216T000000,625000,3,2.5,2180,5000,1.0,0,0,4,8,1240,940,1977,0,47.5828,-122.396,2000,5000
4837,Northgate,98103,1931300955,20141126T000000,525000,1,1.0,830,3200,1.0,0,0,3,7,830,0,1924,0,47.6557,-122.348,1350,2512
1720,West Seattle,98136,2810100040,20140507T000000,485000,3,2.0,1610,4160,1.0,0,0,4,7,1010,600,1917,0,47.5421,-122.38799999999999,1040,4400
3400,Central Area,98144,1250203335,20140527T000000,1050000,4,2.5,2920,7200,1.0,0,3,3,8,1470,1450,1921,2006,47.5947,-122.288,3210,6825
1759,West Seattle,98136,5637500094,20140522T000000,431500,3,3.5,1900,1612,2.0,0,0,3,8,1430,470,2008,0,47.544,-122.385,1780,1525
4148,Ballard,98117,1623800440,20150417T000000,499922,3,2.0,1460,3000,1.0,0,0,4,7,940,520,1990,0,47.681999999999995,-122.365,1460,3000
7089,Magnolia,98199,7010700245,20141231T000000,565000,5,2.25,2130,4360,1.0,0,2,3,8,1240,890,1959,0,47.6586,-122.395,1830,5000
5456,Northgate,98133,9310300175,20150304T000000,225000,3,1.0,1490,15850,1.0,0,0,3,7,1490,0,1946,0,47.7411,-122.34700000000001,1950,13228
1753,West Seattle,98136,3013300980,20150506T000000,640500,3,1.0,1070,4505,1.0,0,2,4,7,1070,0,1919,0,47.5305,-122.384,1380,4505
308,Queen Anne,98119,1794501415,20140528T000000,840500,3,2.0,2520,5400,1.5,0,0,4,8,1410,1110,1906,0,47.6365,-122.361,1960,5400
2577,Seward Park,98118,4154304740,20150224T000000,709000,3,2.75,2780,7200,1.5,0,0,4,8,1870,910,1913,0,47.5632,-122.27,1700,7200
2253,Beacon Hill,98108,2734100736,20140910T000000,249950,3,3.0,1790,2003,2.0,0,0,3,7,1480,310,2006,0,47.5421,-122.321,1220,4000
4563,Northgate,98103,510002519,20140715T000000,466000,2,1.5,1140,1058,3.0,0,0,3,7,1140,0,2005,0,47.6608,-122.333,1170,1116
1600,West Seattle,98136,7625700012,20141202T000000,370000,3,2.75,1250,1655,2.0,0,0,3,7,830,420,2006,0,47.5554,-122.382,1520,3001
7062,Magnolia,98199,6822100780,20140911T000000,710000,2,1.0,1210,6000,1.0,0,0,4,7,1000,210,1942,0,47.6482,-122.402,1840,6000
4463,Ballard,98117,472000015,20140516T000000,490000,2,1.0,1160,5000,1.0,0,0,4,8,1160,0,1937,0,47.6865,-122.399,1750,5000
1404,West Seattle,98126,5347200070,20150427T000000,339000,3,1.0,1150,2496,1.0,0,0,3,6,1010,140,1947,0,47.5194,-122.376,1340,1203
7028,Magnolia,98199,1370802600,20140703T000000,1015000,3,3.25,3620,4000,2.0,0,0,3,10,2730,890,2005,0,47.6393,-122.40299999999999,1910,5000
6432,Lake City,98125,6411600370,20140515T000000,475000,7,3.5,2870,29699,1.0,0,0,3,7,1520,1350,1961,0,47.7153,-122.32700000000001,1380,7555
729,Capitol Hill,98112,4232401265,20141020T000000,1112750,5,3.5,3090,3600,2.0,0,0,3,9,2060,1030,2000,0,47.6217,-122.309,2240,3904
2927,Rainier Valley,98178,9218400088,20141119T000000,495000,5,1.0,1810,11205,1.5,0,2,3,7,1810,0,1915,0,47.5099,-122.262,1860,7965
3095,Central Area,98122,7942601895,20140819T000000,640000,3,2.5,2160,4000,1.5,0,0,3,8,1960,200,1903,2013,47.6045,-122.307,2160,5120
5866,Lake City,98115,8024200625,20150205T000000,414500,3,1.0,1050,6002,1.0,0,0,3,7,840,210,1941,0,47.6988,-122.316,1180,6003
5515,Northgate,98133,5361700020,20150317T000000,430000,3,1.5,1450,7316,1.0,0,0,3,7,1450,0,1961,0,47.7725,-122.34899999999999,1440,7316
1463,West Seattle,98126,1781500155,20140529T000000,445000,4,1.75,1990,4725,1.5,0,0,4,7,1190,800,1944,0,47.5275,-122.38,1240,4961
7157,Magnolia,98199,3271301175,20140815T000000,661000,2,1.0,1260,5800,1.0,0,0,4,7,1260,0,1939,0,47.6501,-122.40899999999999,1830,5800
5447,Northgate,98133,3705900124,20150220T000000,302000,5,1.75,2360,8642,1.5,0,0,5,7,2060,300,1926,0,47.7617,-122.335,1950,8491
3404,Central Area,98144,3319500922,20150421T000000,345000,2,1.5,830,920,2.0,0,0,3,7,830,0,2005,0,47.5998,-122.306,830,1200
4413,Ballard,98117,4449800595,20140922T000000,545000,3,1.75,1400,4000,1.5,0,0,4,7,1400,0,1925,0,47.6902,-122.38799999999999,1050,4330
6262,Lake City,98125,3992700036,20140626T000000,415000,3,1.0,1170,6700,1.0,0,0,3,8,1170,0,1957,0,47.7122,-122.29,2410,7620
5065,Northgate,98103,3362401758,20140903T000000,467000,3,2.25,1420,990,3.0,0,0,3,8,1420,0,2008,0,47.6801,-122.348,1350,1415
1885,West Seattle,98146,1823049202,20150107T000000,326000,6,1.5,1930,8400,1.0,0,0,3,7,1030,900,1971,0,47.4869,-122.34,1780,9520
4516,Ballard,98117,7589700055,20140611T000000,545000,2,1.25,1240,2150,2.0,0,0,3,8,1240,0,2014,0,47.6884,-122.374,1340,5289
413,University District,98105,3131200640,20150427T000000,700000,4,2.0,1830,4590,2.0,0,0,3,8,1830,0,1908,0,47.6593,-122.32700000000001,1650,4590
5112,Northgate,98103,9402800005,20141028T000000,1500000,3,3.5,3530,3610,2.0,0,0,3,10,2370,1160,2008,0,47.6857,-122.339,1780,3610
5704,Lake City,98115,8934100125,20140829T000000,810000,3,2.0,2870,6360,1.5,0,1,4,8,1790,1080,1946,0,47.6813,-122.275,2310,6466
5955,Lake City,98115,2629600016,20150410T000000,625500,2,1.0,2160,7439,1.0,0,0,4,6,1300,860,1953,0,47.6981,-122.286,1680,7439
5069,Northgate,98103,993001914,20150106T000000,344000,3,2.25,1250,1033,3.0,0,0,3,8,1250,0,2007,0,47.6907,-122.34299999999999,1250,1150
5914,Lake City,98115,1995200200,20140506T000000,313950,3,1.0,1510,6083,1.0,0,0,4,6,860,650,1940,0,47.6966,-122.324,1510,5712
1554,West Seattle,98126,8150600250,20141217T000000,649000,4,2.5,2730,4847,2.0,0,0,3,9,2730,0,2008,0,47.549,-122.374,1250,4840
4518,Ballard,98117,946000295,20141210T000000,469000,3,2.25,1440,1362,3.0,0,0,3,7,1440,0,2014,0,47.6908,-122.365,1180,2603
1064,West Seattle,98116,2141200030,20140828T000000,625000,3,2.5,2000,6341,1.0,0,0,5,8,1040,960,1981,0,47.5639,-122.40100000000001,2030,6341
1070,West Seattle,98116,2391600335,20150203T000000,804000,4,2.5,2620,5060,2.0,0,0,3,9,2620,0,2005,0,47.5634,-122.39399999999999,900,5060
4897,Northgate,98103,5693500760,20140707T000000,570000,3,1.0,1890,3330,1.5,0,0,4,7,1390,500,1901,0,47.6597,-122.352,1530,3330
1536,West Seattle,98126,2324039152,20140818T000000,624000,4,1.75,2710,9216,1.0,0,0,3,8,1440,1270,1961,0,47.5523,-122.37899999999999,1960,6350
4589,Northgate,98103,4083306175,20150401T000000,805000,3,1.75,1080,3200,1.0,0,0,4,7,880,200,1926,0,47.6503,-122.338,1780,5200
3398,Central Area,98144,1596600060,20150501T000000,250000,1,1.0,660,2600,1.0,0,0,3,6,660,0,1919,0,47.5723,-122.304,1560,5445
2684,Seward Park,98118,3333000655,20150511T000000,334000,2,1.0,890,6000,1.0,0,0,3,6,890,0,1941,0,47.5437,-122.281,1090,5900
4600,Northgate,98103,1529300160,20140619T000000,405000,2,1.0,1260,4377,1.0,0,0,4,7,1260,0,1947,0,47.6988,-122.354,1420,6376
5304,Northgate,98133,5727500019,20140605T000000,395000,4,3.0,1980,7931,1.0,0,0,4,7,1160,820,1983,0,47.7513,-122.334,1910,7931
5862,Lake City,98115,1257200115,20140521T000000,1003000,4,2.75,2290,6120,2.0,0,0,4,7,2170,120,1926,0,47.6746,-122.32700000000001,1910,4590
4912,Northgate,98103,9551201155,20140728T000000,925000,3,3.25,2610,4500,1.5,0,0,4,9,1660,950,1909,0,47.6701,-122.339,2110,4500
2119,West Seattle,98146,7694200430,20140625T000000,328423,3,2.5,1730,3600,2.0,0,0,3,8,1730,0,2014,0,47.5019,-122.34,2030,3600
3690,Central Area,98144,3274800505,20150424T000000,502000,3,2.5,1600,3073,3.0,0,0,3,8,1600,0,2009,0,47.5934,-122.29799999999999,1130,2921
447,University District,98105,5364200649,20141008T000000,603000,3,1.0,1790,5250,1.0,0,0,3,7,1400,390,1943,0,47.6627,-122.27600000000001,1790,5250
1949,West Seattle,98146,8151600142,20150512T000000,319950,5,1.75,1710,11900,1.0,0,0,3,7,1070,640,1958,0,47.506,-122.365,1030,10360
3469,Central Area,98144,1250202285,20141020T000000,908800,3,3.0,3420,7826,2.0,0,0,4,8,2430,990,1939,0,47.5873,-122.29,980,6300
6820,Delridge,98106,7831800395,20140515T000000,312500,2,1.0,880,6345,1.0,0,0,3,7,880,0,1919,0,47.5341,-122.35799999999999,1440,6345
4805,Northgate,98103,3362401000,20140701T000000,695000,3,2.0,2500,4080,1.5,0,0,5,7,1680,820,1922,0,47.6813,-122.346,1550,3060
5604,Northgate,98133,2838000030,20150127T000000,679950,3,2.5,2230,3939,2.0,0,0,3,8,2230,0,2014,0,47.73,-122.335,2230,4200
2298,Beacon Hill,98108,9320350130,20140823T000000,453000,3,3.0,2330,4284,2.0,0,0,3,9,1920,410,2004,0,47.5547,-122.30799999999999,2330,3709
5239,Northgate,98133,5256500025,20140827T000000,457000,4,1.75,2100,10358,1.0,0,0,5,8,1280,820,1959,0,47.7478,-122.338,2080,9000
1213,West Seattle,98116,9279700013,20140710T000000,1250000,3,3.0,3460,5353,2.0,0,0,3,10,2850,610,2007,0,47.5858,-122.39299999999999,2460,6325
4710,Northgate,98103,9550200225,20140711T000000,625000,3,1.5,1230,3060,1.0,0,0,3,7,910,320,1927,0,47.667,-122.333,1260,4488
3691,Central Area,98144,1250200693,20140718T000000,515000,3,3.0,2100,2409,2.0,0,0,3,8,1660,440,2008,0,47.5973,-122.29799999999999,1900,2400
2103,West Seattle,98146,2414600366,20141114T000000,199900,1,1.0,720,7140,1.0,0,0,3,6,720,0,1930,0,47.5119,-122.339,1140,7577
6379,Lake City,98125,1453602284,20141103T000000,296000,2,2.0,1320,2040,3.0,0,0,3,7,1320,0,1997,0,47.7224,-122.291,1430,2040
2106,West Seattle,98146,7211401975,20140905T000000,260000,3,2.5,1440,2500,2.0,0,0,3,7,1440,0,2006,0,47.511,-122.359,1440,5000
2606,Seward Park,98118,7129302685,20140911T000000,699000,3,2.0,2010,4320,2.0,0,2,3,9,2010,0,1999,0,47.5153,-122.256,1640,5225
608,University District,98105,9191201325,20150301T000000,534000,4,1.75,2040,2750,1.5,0,0,4,6,1260,780,1926,0,47.6698,-122.3,1940,3750
2878,Rainier Valley,98178,7657000165,20140730T000000,200000,4,1.0,1070,7467,1.5,0,0,3,7,1070,0,1944,0,47.4942,-122.235,1160,7467
45,Downtown,98102,3720800070,20150127T000000,1100000,4,3.0,2880,5500,2.0,0,0,4,9,1920,960,1926,0,47.6448,-122.31700000000001,2110,5500
